#Document title: Votes
#Rows: 2234, Columns: 33
#Legislative period: 2012-2013
#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.50plus;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.osf;nl.p.pvda;nl.p.pvdd;nl.p.pvv;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 1, partij;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;indiener 2, partij;titel document volgens stemming
commons;2012-2013;7;2012-10-02;24;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/24;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-10.1.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-10?view=html#nl.proc.ob.d.h-tk-20122013-7-10.1.4.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-10.html;aye;aye;aye;aye;aye;;aye;aye;aye;aye;aye;aye;;;;;;;
commons;2012-2013;7;2012-10-02;24;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/24;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-11.1.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-11?view=html#nl.proc.ob.d.h-tk-20122013-7-11.1.4.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-11.html;aye;aye;aye;aye;aye;;aye;aye;aye;aye;aye;aye;;;;;;;
commons;2012-2013;7;2012-10-02;33186;12;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-33186-12.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-13.1.16.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-13?view=html#nl.proc.ob.d.h-tk-20122013-7-13.1.16.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-13.html;aye;aye;aye;aye;aye;;aye;aye;aye;aye;aye;no;Verhoeven;nl.m.03192;nl.p.d66;;;;de motie-Verhoeven c.s. over de Kamer informeren over vernietigde besluiten ( 33186, nr. 12).
commons;2012-2013;7;2012-10-02;32768;8;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-32768-8.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-12.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-12?view=html#nl.proc.ob.d.h-tk-20122013-7-12.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-12.html;aye;no;no;aye;aye;;no;aye;no;aye;aye;no;Verhoeven;nl.m.03192;nl.p.d66;;;;de motie-Verhoeven over een evaluatie na tweeënhalf jaar ( 32768, nr. 8).
commons;2012-2013;7;2012-10-02;32768;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/32768;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-12.1.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-12?view=html#nl.proc.ob.d.h-tk-20122013-7-12.1.4.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-12.html;aye;aye;aye;aye;aye;;aye;aye;no;aye;aye;aye;;;;;;;Aan de orde zijn de stemmingenin verband met het wetsvoorstel Implementatie van richtlijn nr. 2009/81/EG van het Europees Parlement en de Raad van 13 juli 2009 betreffende de coördinatie van de procedures voor het plaatsen door aanbestedende diensten van bepaalde opdrachten voor werken, leveringen en diensten op defensie- en veiligheidsgebied, en tot wijziging van richtlijnen 2004/17/EG en 2004/18/EG (Aanbestedingswet op defensie- en veiligheidsgebied) (32768),
commons;2012-2013;7;2012-10-02;33186;11;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-33186-11.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-33186-11?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-13.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-13?view=html#nl.proc.ob.d.h-tk-20122013-7-13.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-13.html;no;no;no;no;no;;no;no;aye;no;no;no;Klever;nl.m.03292;nl.p.pvv;;;;amendement-Klever (stuk nr. 11)
commons;2012-2013;7;2012-10-02;33186;8;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-33186-8.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-33186-8?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-13.1.10.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-13?view=html#nl.proc.ob.d.h-tk-20122013-7-13.1.10.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-13.html;no;aye;aye;no;no;;no;aye;aye;aye;aye;no;Agnes Mulder;nl.m.03323;nl.p.cda;;;;amendement-Agnes Mulder (stuk nr. 8, I)
commons;2012-2013;7;2012-10-02;33186;10;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-33186-10.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-33186-10?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-13.1.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-13?view=html#nl.proc.ob.d.h-tk-20122013-7-13.1.4.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-13.html;no;no;no;no;no;;no;aye;aye;no;aye;no;Klever;nl.m.03292;nl.p.pvv;;;;amendement-Klever (stuk nr. 10)
commons;2012-2013;7;2012-10-02;24;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/24;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-9.1.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-9?view=html#nl.proc.ob.d.h-tk-20122013-7-9.1.4.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-9.html;aye;aye;aye;aye;aye;;aye;aye;aye;aye;aye;aye;;;;;;;
commons;2012-2013;7;2012-10-02;33186;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33186;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-13.1.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-13?view=html#nl.proc.ob.d.h-tk-20122013-7-13.1.13.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-13.html;aye;aye;aye;aye;aye;;aye;aye;aye;aye;aye;aye;;;;;;;Aan de orde zijn de stemmingenin verband met het wetsvoorstel Regels omtrent de instelling van de Autoriteit Consument en Markt (Instellingswet Autoriteit Consument en Markt) (33186),
commons;2012-2013;10;2012-10-09;33400;12;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-33400-12.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-10-13.1.24.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-10-13?view=html#nl.proc.ob.d.h-tk-20122013-10-13.1.24.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-10-13.html;aye;no;no;no;aye;;no;aye;no;no;aye;no;Merkies;nl.m.03309;nl.p.sp;;;;de motie-Merkies over het niet verhogen van het eigen risico ( 33400, nr. 12),
senate;2012-2013;3;2012-10-09;33106,32812;L;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33106,32812;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20122013-3-5.1.10.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20122013-3-5?view=html#nl.proc.ob.d.h-ek-20122013-3-5.1.10.1;https://zoek.officielebekendmakingen.nl/h-ek-20122013-3-5.html;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;Backer;nl.m.03237;nl.p.d66;;;;de motie-Backer c.s. over een permanente landelijke arbitragemogelijkheid om geschillen tussen scholen en het samenwerkingsverband waarin zij deelnemen te beslechten ( 33106, 32812, letter L).
senate;2012-2013;3;2012-10-09;33106,32812;K;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33106,32812;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20122013-3-5.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20122013-3-5?view=html#nl.proc.ob.d.h-ek-20122013-3-5.1.7.1;https://zoek.officielebekendmakingen.nl/h-ek-20122013-3-5.html;aye;aye;no;aye;aye;aye;aye;aye;no;aye;aye;no;Ganzevoort;nl.m.03278;nl.p.gl;;;;de motie-Ganzevoort c.s. over voorzieningen voor leerlingen met gedragsproblemen ( 33106, 32812, letter K),
commons;2012-2013;10;2012-10-09;33400;10;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-33400-10.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-10-13.1.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-10-13?view=html#nl.proc.ob.d.h-tk-20122013-10-13.1.18.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-10-13.html;aye;aye;aye;aye;aye;;no;aye;no;aye;aye;no;Van Hijum;nl.m.02442;nl.p.cda;;;;de motie-Van Hijum over een verkenning naar mogelijkheden voor bouwsparen ( 33400, nr. 10),
commons;2012-2013;10;2012-10-09;32722;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/32722;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-10-10.1.10.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-10-10?view=html#nl.proc.ob.d.h-tk-20122013-10-10.1.10.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-10-10.html;aye;aye;aye;aye;aye;;aye;aye;aye;aye;aye;no;;;;;;;Aan de orde zijn de stemmingenin verband met het wetsvoorstel Wijziging van de artikelen 8 en 89 van de Postwet 2009 (32722)
commons;2012-2013;10;2012-10-09;33400;8;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-33400-8.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-10-13.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-10-13?view=html#nl.proc.ob.d.h-tk-20122013-10-13.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-10-13.html;aye;no;no;no;no;;no;aye;aye;no;aye;no;Van Vliet;nl.m.03214;nl.p.pvv;;;;de motie-Van Vliet over het terugbrengen van het btw-tarief naar 19%. ( 33400, nr. 8),
