#Document title: Votes
#Rows: 2234, Columns: 33
#Legislative period: 2012-2013
#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.50plus;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.osf;nl.p.pvda;nl.p.pvdd;nl.p.pvv;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 1, partij;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;indiener 2, partij;titel document volgens stemming
commons;2012-2013;3;2012-09-20;33410;2;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-33410-2.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-3-9.1.8.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-3-9?view=html#nl.proc.ob.d.h-tk-20122013-3-9.1.8.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-3-9.html;aye;aye;aye;no;aye;;aye;no;aye;aye;no;aye;Mark Rutte;nl.m.02396;nl.p.vvd;Samsom;nl.m.02335;nl.p.pvda;de motie-Mark Rutte/Samsom over het overnemen van het advies van de verkenner ( 33410, nr. 2),
commons;2012-2013;3;2012-09-20;33410;3;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-33410-3.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-3-9.1.11.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-3-9?view=html#nl.proc.ob.d.h-tk-20122013-3-9.1.11.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-3-9.html;no;aye;aye;aye;no;;no;no;no;aye;no;no;Van Haersma Buma;nl.m.02316;nl.p.cda;;;;de motie-Van Haersma Buma c.s. over het EMU-saldotekort ( 33410, nr. 3),
commons;2012-2013;3;2012-09-20;33410;4;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-33410-4.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-3-9.1.14.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-3-9?view=html#nl.proc.ob.d.h-tk-20122013-3-9.1.14.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-3-9.html;aye;aye;aye;aye;aye;;aye;aye;aye;aye;aye;aye;Pechtold;nl.m.02993;nl.p.d66;;;;"de motie-Pechtold over openbaarheid van het ""informatiedossier"" na afronding van de opdracht ( 33410, nr. 4),"
commons;2012-2013;3;2012-09-20;33410;5;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-33410-5.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-3-9.1.17.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-3-9?view=html#nl.proc.ob.d.h-tk-20122013-3-9.1.17.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-3-9.html;aye;aye;aye;aye;aye;;no;aye;aye;aye;aye;no;Pechtold;nl.m.02993;nl.p.d66;;;;de motie-Pechtold over openbaar maken van financiële en zakelijke belangen van aantredende ministers en staatssecretarissen ( 33410, nr. 5),
commons;2012-2013;3;2012-09-20;33410;6;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-33410-6.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-3-9.1.20.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-3-9?view=html#nl.proc.ob.d.h-tk-20122013-3-9.1.20.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-3-9.html;aye;no;aye;aye;aye;;no;aye;aye;aye;aye;no;Pechtold;nl.m.02993;nl.p.d66;;;;de motie-Pechtold over een openbare beëdiging van ministers en staatssecretarissen ( 33410, nr. 6),
commons;2012-2013;3;2012-09-20;33410;7;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-33410-7.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-3-9.1.23.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-3-9?view=html#nl.proc.ob.d.h-tk-20122013-3-9.1.23.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-3-9.html;aye;no;aye;aye;aye;;aye;aye;no;no;aye;no;Slob;nl.m.01639;nl.p.cu;;;;de motie-Slob c.s. over geen gedwongen uitzettingen van minderjarige asielkinderen gedurende de onderhandelingen ( 33410, nr. 7),
commons;2012-2013;3;2012-09-20;33410;9;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-33410-9.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-3-9.1.28.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-3-9?view=html#nl.proc.ob.d.h-tk-20122013-3-9.1.28.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-3-9.html;no;no;aye;no;no;;no;no;no;aye;no;no;Van der Staaij;nl.m.02252;nl.p.sgp;Slob;nl.m.01639;nl.p.cu;de motie-Van der Staaij/Slob over het voorkomen van vervroegde verkiezingen ( 33410, nr. 9).
commons;2012-2013;6;2012-09-27;32175;39;motie;accepted;transformer-problem;https://zoek.officielebekendmakingen.nl/kst-32175-39.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-6-9.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-6-9?view=html#nl.proc.ob.d.h-tk-20122013-6-9.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-6-9.html;;;;;;;;;;;;;Van der Staaij;nl.m.02252;nl.p.sgp;;;;de motie-Van der Staaij over uitvoering geven aan de aanscherping van het migratiebeleid ( 32175, nr. 39).
commons;2012-2013;6;2012-09-27;32175;39;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-32175-39.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-6-9.1.10.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-6-9?view=html#nl.proc.ob.d.h-tk-20122013-6-9.1.10.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-6-9.html;no;aye;no;no;no;;no;no;aye;aye;no;no;Van der Staaij;nl.m.02252;nl.p.sgp;;;;de motie-Van der Staaij over uitvoering geven aan de aanscherping van het migratiebeleid ( 32175, nr. 39).
commons;2012-2013;7;2012-10-02;33204;17;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-33204-17.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-33204-17?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-15.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-15?view=html#nl.proc.ob.d.h-tk-20122013-7-15.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-15.html;aye;aye;aye;aye;aye;;aye;aye;no;no;aye;aye;Leijten;nl.m.03095;nl.p.sp;;;;amendement-Leijten (stuk nr. 17)
commons;2012-2013;7;2012-10-02;33204;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33204;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-15.1.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-15?view=html#nl.proc.ob.d.h-tk-20122013-7-15.1.15.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-15.html;aye;aye;aye;aye;aye;;aye;aye;aye;aye;aye;aye;;;;;;;Aan de orde zijn de stemmingenin verband met het wetsvoorstel Wijziging van de Algemene Wet Bijzondere Ziektekosten en de Wet maatschappelijke ondersteuning in verband met invoering van een vermogensinkomensbijtelling voor de vaststelling van de eigen bijdragen voor zorg of voorzieningen op grond van die wetten (33204),
commons;2012-2013;7;2012-10-02;33204;14;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-33204-14.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-15.1.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-15?view=html#nl.proc.ob.d.h-tk-20122013-7-15.1.18.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-15.html;aye;no;no;no;no;;no;no;no;no;aye;no;Leijten;nl.m.03095;nl.p.sp;;;;de motie-Leijten over het verhogen van de grens van het heffingvrij vermogen ( 33204, nr. 14),
commons;2012-2013;7;2012-10-02;33204;19;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-33204-19.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-15.1.21.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-15?view=html#nl.proc.ob.d.h-tk-20122013-7-15.1.21.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-15.html;aye;no;aye;no;aye;;aye;aye;aye;no;aye;no;Leijten;nl.m.03095;nl.p.sp;Krol;nl.m.03305;nl.p.50plus;motie-Leijten/Krol ( 33204, nr. 19, was nr. 15)
commons;2012-2013;7;2012-10-02;33204;16;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-33204-16.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-15.1.24.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-15?view=html#nl.proc.ob.d.h-tk-20122013-7-15.1.24.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-15.html;aye;no;aye;no;aye;;aye;aye;no;aye;no;no;Dik-Faber;nl.m.03331;nl.p.cu;;;;de motie-Dik-Faber over voldoende middelen voor de gemeenten ( 33204, nr. 16).
senate;2012-2013;2;2012-10-02;33241;;wetsvoorstel;not-available;transformer-problem;https://zoek.officielebekendmakingen.nl/dossier/33241;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20122013-2-9.1.10.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20122013-2-9?view=html#nl.proc.ob.d.h-ek-20122013-2-9.1.10.3.1;https://zoek.officielebekendmakingen.nl/h-ek-20122013-2-9.html;;;;;;;;;;;;;;;;;;;het wetsvoorstel Wijziging van de Ziektewet en enige andere wetten om ziekteverzuim en arbeidsongeschiktheid van vangnetters te beperken (Wet beperking ziekteverzuim en arbeidsongeschiktheid vangnetters) (33241)
commons;2012-2013;7;2012-10-02;33236;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33236;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-8.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-8?view=html#nl.proc.ob.d.h-tk-20122013-7-8.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-8.html;aye;aye;aye;aye;aye;;aye;aye;aye;aye;aye;aye;;;;;;;Aan de orde zijn de stemmingenin verband met het wetsvoorstel Wijziging van de Wet op het financieel toezicht en enige andere wetten (Wijzigingswet financiële markten 2013) (33236)
commons;2012-2013;7;2012-10-02;33236;11;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-33236-11.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-33236-11?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-8.1.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-8?view=html#nl.proc.ob.d.h-tk-20122013-7-8.1.4.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-8.html;aye;aye;aye;aye;aye;;aye;aye;no;no;aye;no;Van Hijum;nl.m.02442;nl.p.cda;;;;amendement-Van Hijum c.s. (stuk nr. 11)
commons;2012-2013;7;2012-10-02;33204;12;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-33204-12.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-33204-12?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-15.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-15?view=html#nl.proc.ob.d.h-tk-20122013-7-15.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-15.html;aye;aye;aye;aye;aye;;aye;aye;no;aye;aye;aye;Keijzer;nl.m.03301;nl.p.cda;;;;amendement-Keijzer (stuk nr. 12, I)
commons;2012-2013;7;2012-10-02;33204;10;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-33204-10.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-33204-10?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-15.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-15?view=html#nl.proc.ob.d.h-tk-20122013-7-15.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-15.html;aye;no;aye;no;no;;aye;aye;no;no;aye;no;Leijten;nl.m.03095;nl.p.sp;;;;amendement-Leijten (stuk nr. 10, I)
commons;2012-2013;7;2012-10-02;32043;130;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-32043-130.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-14.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-14?view=html#nl.proc.ob.d.h-tk-20122013-7-14.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-14.html;aye;no;no;no;no;;no;no;aye;no;aye;no;Ulenbelt;nl.m.03096;nl.p.sp;;;;de motie-Ulenbelt c.s. over het advies van de externe commissie en maatwerk van DNB ( 32043, nr. 130),
commons;2012-2013;7;2012-10-02;32043;131;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-32043-131.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-14.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-14?view=html#nl.proc.ob.d.h-tk-20122013-7-14.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-14.html;aye;no;no;no;no;;no;aye;aye;no;aye;no;Ulenbelt;nl.m.03096;nl.p.sp;;;;de motie-Ulenbelt c.s. over het instellen van een staatscommissie ( 32043, nr. 131),
commons;2012-2013;7;2012-10-02;32043;132;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-32043-132.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-14.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-14?view=html#nl.proc.ob.d.h-tk-20122013-7-14.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-14.html;no;no;aye;aye;aye;;no;no;no;aye;no;no;Van Weyenberg;nl.m.03351;nl.p.d66;;;;de motie-Van Weyenberg c.s. over een lager UFR-niveau in 2013 ( 32043, nr. 132),
commons;2012-2013;7;2012-10-02;33235;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33235;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-7.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-7?view=html#nl.proc.ob.d.h-tk-20122013-7-7.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-7.html;aye;aye;aye;aye;aye;;aye;aye;aye;aye;aye;aye;;;;;;;Aan de orde zijn de stemmingenin verband met het wetsvoorstel Wijziging van de Wet op het financieel toezicht, het Burgerlijk Wetboek, de Wet op de economische delicten en enige fiscale wetten ter implementatie van richtlijn nr. 2011/61/EU van het Europees Parlement en de Raad van de Europese Unie van 8 juni 2011 inzake beheerders van alternatieve beleggingsinstellingen en tot wijziging van de Richtlijnen 2003/41/EG en 2009/65/EG en van de Verordeningen (EG) Nr. 1060/2009 en (EU) Nr. 1095/2010 (PbEU 2011, L 174) (33235)
commons;2012-2013;7;2012-10-02;33235;13;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-33235-13.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-33235-13?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-7.1.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20122013-7-7?view=html#nl.proc.ob.d.h-tk-20122013-7-7.1.4.1;https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-7.html;aye;aye;aye;aye;aye;;aye;aye;aye;aye;aye;aye;Huizing;nl.m.03260;nl.p.vvd;;;;amendement-Huizing c.s. (stuk nr. 13)
